School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Upper Primary School,Orissa,Female,,12832,13969,7974,8573,7932,12026,13354.0,17863.0,18310.0
Upper Primary School,Puducherry,Total,1574.0,1593,1593,1622,1534,1396,1384,1405.0,1471.0,1302.0
Upper Primary School,Puducherry,Male,,727,734,691,624,539,519,479.0,461.0,393.0
Upper Primary School,Puducherry,Female,,866,859,931,910,857,865,926.0,1010.0,909.0
Upper Primary School,Punjab,Total,13920.0,13737,13543,13206,12910,13206,14070,39708.0,21480.0,22836.0
Upper Primary School,Punjab,Male,,6403,6639,6336,6175,6263,6672,11158.0,8264.0,8716.0
Upper Primary School,Punjab,Female,,7334,6904,6870,6735,6943,7398,28550.0,13216.0,14120.0
Upper Primary School,Rajasthan,Total,120410.0,157284,154921,160423,191208,196652,199717,211138.0,219555.0,219854.0
Upper Primary School,Rajasthan,Male,,113153,112773,115456,134354,136125,138939,143366.0,148879.0,150969.0
Upper Primary School,Rajasthan,Female,,44131,42148,44967,56854,60527,60778,67772.0,70676.0,68885.0
Upper Primary School,Sikkim,Total,1701.0,1661,1140,1172,1177,1820,2043,2229.0,2229.0,2229.0
Upper Primary School,Sikkim,Male,,1012,730,755,766,1103,1031,1116.0,1116.0,1116.0
Upper Primary School,Sikkim,Female,,649,410,417,411,717,1012,1113.0,1113.0,1113.0
Upper Primary School,Tamil Nadu,Total,59922.0,56086,60079,56958,92156,64297,68507,67612.0,26589.0,65206.0
Upper Primary School,Tamil Nadu,Male,,17071,25935,26217,19371,22059,27259,28547.0,11121.0,20819.0
Upper Primary School,Tamil Nadu,Female,,39015,34144,30741,72785,42238,41248,39065.0,15468.0,44387.0
Upper Primary School,Tripura,Total,5995.0,5672,7022,8880,8439,8319,8476,8687.0,9522.0,11083.0
Upper Primary School,Tripura,Male,,4355,5158,6565,6701,6603,6713,6843.0,7501.0,8450.0
Upper Primary School,Tripura,Female,,1317,1864,2315,1738,1716,1763,1844.0,2021.0,2633.0
Upper Primary School,Uttar Pradesh,Total,99694.0,148395,156674,157847,166344,170532,87940,96175.0,98072.0,142589.0
Upper Primary School,Uttar Pradesh,Male,,105583,111474,124097,130778,132944,63179,67083.0,67272.0,85593.0
Upper Primary School,Uttar Pradesh,Female,,42812,45200,33750,35566,37588,24761,29092.0,30800.0,56996.0
Upper Primary School,Uttarakhand,Total,14377.0,15284,16080,17439,18715,19999,19983,20654.0,19829.0,19870.0
Upper Primary School,Uttarakhand,Male,,10463,10528,11274,11880,12713,12704,12773.0,12458.0,11970.0
Upper Primary School,Uttarakhand,Female,,4821,5552,6165,6835,7286,7279,7881.0,7371.0,7900.0
Upper Primary School,West Bengal,Total,12124.0,11275,11388,15474,10895,8951,6360,8620.0,21679.0,12959.0
Upper Primary School,West Bengal,Male,,8319,8421,11303,8137,6579,4612,6226.0,15605.0,9071.0
Upper Primary School,West Bengal,Female,,2956,2967,4171,2758,2372,1748,2394.0,6074.0,3888.0
