School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Lower Secondary School,Manipur,Male,,,,,,5276,5210,5203,5220.0,5111.0
Lower Secondary School,Manipur,Female,,,,,,3525,3515,3516,3530.0,3604.0
Lower Secondary School,Meghalaya,Total,5209.0,5033.0,5325.0,5209.0,5209.0,4445,4445,4445,4837.0,4837.0
Lower Secondary School,Meghalaya,Male,,,,,,2567,2567,2102,2294.0,2294.0
Lower Secondary School,Meghalaya,Female,,,,,,1878,1878,2343,2543.0,2543.0
Lower Secondary School,Mizoram,Total,2853.0,2589.0,3231.0,3592.0,3694.0,3768,3935,3886,3853.0,3870.0
Lower Secondary School,Mizoram,Male,,,,,,2691,2792,2713,2709.0,2732.0
Lower Secondary School,Mizoram,Female,,,,,,1077,1143,1173,1144.0,1138.0
Lower Secondary School,Nagaland,Total,5994.0,4168.0,6283.0,6427.0,6733.0,6733,6628,6628,6628.0,6628.0
Lower Secondary School,Nagaland,Male,,,,,,4177,4001,4001,4001.0,4001.0
Lower Secondary School,Nagaland,Female,,,,,,2556,2627,2627,2627.0,2627.0
Lower Secondary School,Orissa,Total,51570.0,55733.0,60960.0,61003.0,61939.0,62094,62727,63303,64967.0,65289.0
Lower Secondary School,Orissa,Male,,,,,,47939,47956,48113,49210.0,49527.0
Lower Secondary School,Orissa,Female,,,,,,14155,14771,15190,15757.0,15762.0
Lower Secondary School,Puducherry,Total,2346.0,2172.0,2444.0,2644.0,2748.0,2753,2936,3066,3119.0,3150.0
Lower Secondary School,Puducherry,Male,,,,,,1108,1087,1044,964.0,1011.0
Lower Secondary School,Puducherry,Female,,,,,,1645,1849,2022,2155.0,2139.0
Lower Secondary School,Punjab,Total,29420.0,28991.0,29196.0,28222.0,28060.0,28272,26771,26141,27180.0,37666.0
Lower Secondary School,Punjab,Male,,,,,,12669,11650,11296,10017.0,12984.0
Lower Secondary School,Punjab,Female,,,,,,15603,15121,14845,17163.0,24682.0
Lower Secondary School,Rajasthan,Total,49953.0,56381.0,58655.0,60896.0,64938.0,72199,73007,81049,86832.0,98169.0
Lower Secondary School,Rajasthan,Male,,,,,,54087,54794,60298,64304.0,72373.0
Lower Secondary School,Rajasthan,Female,,,,,,18112,18213,20751,22528.0,25796.0
Lower Secondary School,Sikkim,Total,1531.0,1926.0,444.0,978.0,1010.0,1191,1529,1512,1512.0,1512.0
Lower Secondary School,Sikkim,Male,,,,,,771,878,855,855.0,855.0
Lower Secondary School,Sikkim,Female,,,,,,420,651,657,657.0,657.0
Lower Secondary School,Tamil Nadu,Total,50914.0,57467.0,68212.0,69065.0,74168.0,77392,51452,31079,30301.0,30992.0
Lower Secondary School,Tamil Nadu,Male,,,,,,30293,20893,13716,13053.0,13470.0
Lower Secondary School,Tamil Nadu,Female,,,,,,47099,30559,17363,17248.0,17522.0
Lower Secondary School,Tripura,Total,8735.0,8918.0,8529.0,8271.0,8322.0,8423,8584,8952,8952.0,10690.0
Lower Secondary School,Tripura,Male,,,,,,6212,6342,6535,6535.0,7804.0
Lower Secondary School,Tripura,Female,,,,,,2211,2242,2417,2417.0,2886.0
Lower Secondary School,Uttar Pradesh,Total,29086.0,41241.0,44535.0,44804.0,46695.0,48280,65914,76323,76917.0,56134.0
Lower Secondary School,Uttar Pradesh,Male,,,,,,38391,53459,60302,60702.0,44516.0
Lower Secondary School,Uttar Pradesh,Female,,,,,,9889,12455,16021,16215.0,11618.0
Lower Secondary School,Uttarakhand,Total,13833.0,6495.0,7979.0,9049.0,11051.0,11097,11073,17227,19122.0,19407.0
Lower Secondary School,Uttarakhand,Male,,,,,,7705,7687,13063,13739.0,13887.0
Lower Secondary School,Uttarakhand,Female,,,,,,3392,3386,4164,5383.0,5520.0
Lower Secondary School,West Bengal,Total,74352.0,57714.0,58943.0,58708.0,66056.0,69148,63515,63309,727.0,68074.0
Lower Secondary School,West Bengal,Male,,,,,,49958,45777,45221,452.0,49014.0
Lower Secondary School,West Bengal,Female,,,,,,19190,17738,18088,275.0,19060.0
Senior Secondary School,Andaman and Nicobar Islands,Total,1938.0,1905.0,1852.0,1882.0,1742.0,1809,1940,2051,2094.0,2188.0
Senior Secondary School,Andaman and Nicobar Islands,Male,,,,,,898,905,960,948.0,999.0
Senior Secondary School,Andaman and Nicobar Islands,Female,,,,,,911,1035,1091,1146.0,1189.0
Senior Secondary School,Andhra Pradesh,Total,30229.0,37271.0,39830.0,43960.0,44323.0,44827,45800,46339,46339.0,52046.0
Senior Secondary School,Andhra Pradesh,Male,,,,,,32800,33484,33432,33432.0,37578.0
Senior Secondary School,Andhra Pradesh,Female,,,,,,12027,12316,12907,12907.0,14468.0
Senior Secondary School,Arunachal Pradesh,Total,1808.0,1985.0,1841.0,1894.0,1965.0,2147,2456,2442,2719.0,2798.0
Senior Secondary School,Arunachal Pradesh,Male,,,,,,1739,1900,1892,2060.0,2119.0
Senior Secondary School,Arunachal Pradesh,Female,,,,,,408,556,550,659.0,679.0
Senior Secondary School,Assam,Total,21729.0,22626.0,22815.0,22909.0,22981.0,23906,17238,18078,16845.0,17963.0
Senior Secondary School,Assam,Male,,,,,,16934,11761,12694,11869.0,12639.0
Senior Secondary School,Assam,Female,,,,,,6972,5477,5384,4976.0,5324.0
Senior Secondary School,Bihar,Total,17465.0,9230.0,17720.0,17720.0,19691.0,21027,14234,15743,31837.0,38722.0
Senior Secondary School,Bihar,Male,,,,,,16741,12016,13280,22159.0,27332.0
Senior Secondary School,Bihar,Female,,,,,,4286,2218,2463,9678.0,11390.0
Senior Secondary School,Chandigarh,Total,2418.0,3008.0,2625.0,2655.0,2692.0,2829,3016,3349,3933.0,2996.0
Senior Secondary School,Chandigarh,Male,,,,,,477,526,632,496.0,532.0
Senior Secondary School,Chandigarh,Female,,,,,,2352,2490,2717,3437.0,2464.0
Senior Secondary School,Chhattisgarh,Total,15669.0,24763.0,16650.0,19443.0,16949.0,18612,18912,22152,28303.0,29316.0
Senior Secondary School,Chhattisgarh,Male,,,,,,12811,13023,15120,18514.0,18987.0
Senior Secondary School,Chhattisgarh,Female,,,,,,5801,5889,7032,9789.0,10329.0
Senior Secondary School,Dadra and Nagar Haveli,Total,222.0,265.0,165.0,71.0,75.0,57,101,104,105.0,126.0
Senior Secondary School,Dadra and Nagar Haveli,Male,,,,,,27,55,48,58.0,67.0
Senior Secondary School,Dadra and Nagar Haveli,Female,,,,,,30,46,56,47.0,59.0
Senior Secondary School,Daman and Diu,Total,60.0,122.0,50.0,50.0,42.0,42,60,65,65.0,120.0
Senior Secondary School,Daman and Diu,Male,,,,,,30,41,42,42.0,55.0
Senior Secondary School,Daman and Diu,Female,,,,,,12,19,23,23.0,65.0
Senior Secondary School,Delhi,Total,6385.0,48654.0,49406.0,49330.0,51704.0,53411,59348,61113,64158.0,68255.0
Senior Secondary School,Delhi,Male,,,,,,16051,17566,17757,18687.0,19556.0
Senior Secondary School,Delhi,Female,,,,,,37360,41782,43356,45471.0,48699.0
Senior Secondary School,Goa,Total,1456.0,1463.0,1324.0,1362.0,1336.0,1273,1299,1287,1349.0,1418.0
Senior Secondary School,Goa,Male,,,,,,608,605,589,607.0,610.0
Senior Secondary School,Goa,Female,,,,,,665,694,698,742.0,808.0
Senior Secondary School,Gujarat,Total,36769.0,47699.0,40421.0,40245.0,40780.0,44168,46235,47687,43946.0,34881.0
Senior Secondary School,Gujarat,Male,,,,,,31389,32177,32851,29759.0,23487.0
Senior Secondary School,Gujarat,Female,,,,,,12779,14058,14836,14187.0,11394.0
Senior Secondary School,Haryana,Total,31302.0,38670.0,34091.0,35541.0,37525.0,44401,48348,38710,54459.0,54459.0
Senior Secondary School,Haryana,Male,,,,,,22830,25326,20473,28760.0,28760.0
Senior Secondary School,Haryana,Female,,,,,,21571,23022,18237,25699.0,25699.0
Senior Secondary School,Himachal Pradesh,Total,13614.0,17754.0,15093.0,16654.0,19490.0,20391,15535,16756,16885.0,19000.0
Senior Secondary School,Himachal Pradesh,Male,,,,,,12126,10224,10892,10935.0,11265.0
Senior Secondary School,Himachal Pradesh,Female,,,,,,8265,5311,5864,5950.0,7735.0
Senior Secondary School,Jammu and Kashmir,Total,7550.0,10173.0,8497.0,8322.0,10161.0,10161,10161,16727,18489.0,18489.0
Senior Secondary School,Jammu and Kashmir,Male,,,,,,6173,6173,9378,10757.0,10757.0
Senior Secondary School,Jammu and Kashmir,Female,,,,,,3988,3988,7349,7732.0,7732.0
Senior Secondary School,Jharkhand,Total,2735.0,7335.0,3682.0,3873.0,4472.0,3635,4057,4057,,
Senior Secondary School,Jharkhand,Male,,,,,,1678,2235,2235,,
Senior Secondary School,Jharkhand,Female,,,,,,1957,1822,1822,,
Senior Secondary School,Karnataka,Total,10481.0,30723.0,18940.0,16482.0,16527.0,11290,19320,23229,26622.0,26622.0
Senior Secondary School,Karnataka,Male,,,,,,7000,11173,16131,18206.0,18206.0
Senior Secondary School,Karnataka,Female,,,,,,4290,8147,7098,8416.0,8416.0
Senior Secondary School,Kerala,Total,20712.0,72225.0,14413.0,38635.0,34503.0,31002,31002,31002,31002.0,96249.0
Senior Secondary School,Kerala,Male,,,,,,8100,8100,8100,8100.0,30587.0
Senior Secondary School,Kerala,Female,,,,,,22902,22902,22902,22902.0,65662.0
Senior Secondary School,Lakshadweep,Total,39.0,182.0,41.0,164.0,279.0,273,273,70,70.0,70.0
Senior Secondary School,Lakshadweep,Male,,,,,,190,190,61,61.0,61.0
Senior Secondary School,Lakshadweep,Female,,,,,,83,83,9,9.0,9.0
