Particulars,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Lower Secondary School,Andaman and Nicobar Islands,Boy,,,,,,6877,6882,6683,6587,7121
Lower Secondary School,Andaman and Nicobar Islands,Girl,,,,,,6206,6293,6126,6112,6416
Lower Secondary School,Andhra Pradesh,Total,1355406.0,1463352.0,1596861.0,1768327.0,1903449.0,1982846,2038141,2136926,2171400,2138922
Lower Secondary School,Andhra Pradesh,Boy,,,,,,1046190,1063713,1100848,1111874,1086560
Lower Secondary School,Andhra Pradesh,Girl,,,,,,936656,974428,1036078,1059526,1052362
Lower Secondary School,Arunachal Pradesh,Total,23391.0,24715.0,25833.0,27343.0,28605.0,32084,32819,33884,34511,36590
Lower Secondary School,Arunachal Pradesh,Boy,,,,,,17755,17659,18172,18484,19527
Lower Secondary School,Arunachal Pradesh,Girl,,,,,,14329,15160,15712,16027,17063
Lower Secondary School,Assam,Total,592647.0,497500.0,621025.0,624501.0,636733.0,639248,580329,599312,656482,660241
Lower Secondary School,Assam,Boy,,,,,,357695,312853,326747,352415,353487
Lower Secondary School,Assam,Girl,,,,,,281553,267476,272565,304067,306754
Lower Secondary School,Bihar,Total,846095.0,777856.0,845835.0,928831.0,973017.0,1086255,1264591,1476006,1682207,2048090
Lower Secondary School,Bihar,Boy,,,,,,721816,813240,907998,998290,1181000
Lower Secondary School,Bihar,Girl,,,,,,364439,451351,568008,683917,867090
Lower Secondary School,Chandigarh,Total,22336.0,24207.0,23540.0,22427.0,22958.0,24435,25094,25345,26636,29389
Lower Secondary School,Chandigarh,Boy,,,,,,13114,13925,14096,14690,15951
Lower Secondary School,Chandigarh,Girl,,,,,,11321,11169,11249,11946,13438
Lower Secondary School,Chhattisgarh,Total,343967.0,371441.0,396228.0,420855.0,381246.0,442929,459041,713641,537011,648775
Lower Secondary School,Chhattisgarh,Boy,,,,,,251814,260414,389330,294062,341226
Lower Secondary School,Chhattisgarh,Girl,,,,,,191115,198627,324311,242949,307549
Lower Secondary School,Dadra and Nagar Haveli,Total,3373.0,3797.0,4293.0,5394.0,5446.0,5134,6105,5003,6748,8373
Lower Secondary School,Dadra and Nagar Haveli,Boy,,,,,,3114,3650,3036,3950,4880
Lower Secondary School,Dadra and Nagar Haveli,Girl,,,,,,2020,2455,1967,2798,3493
Lower Secondary School,Daman and Diu,Total,3444.0,3507.0,3735.0,4493.0,4336.0,4193,4766,4709,4880,5078
Lower Secondary School,Daman and Diu,Boy,,,,,,2169,2374,2444,2513,2706
Lower Secondary School,Daman and Diu,Girl,,,,,,2024,2392,2265,2367,2372
Lower Secondary School,Delhi,Total,354714.0,351350.0,389967.0,410271.0,409455.0,437817,449400,478284,517064,633842
Lower Secondary School,Delhi,Boy,,,,,,234084,239817,257972,278930,340904
Lower Secondary School,Delhi,Girl,,,,,,203733,209583,220312,238134,292938
Lower Secondary School,Goa,Total,38724.0,38531.0,37642.0,38046.0,37543.0,38078,37798,37760,36976,34332
Lower Secondary School,Goa,Boy,,,,,,19255,19207,19219,19033,17907
Lower Secondary School,Goa,Girl,,,,,,18823,18591,18541,17943,16425
Lower Secondary School,Gujarat,Total,1105532.0,1093789.0,1167651.0,1226501.0,1191739.0,1226121,1290763,1311247,1359732,1451683
Lower Secondary School,Gujarat,Boy,,,,,,726349,766946,795118,804921,850537
Lower Secondary School,Gujarat,Girl,,,,,,499772,523817,516129,554811,601146
Lower Secondary School,Haryana,Total,527646.0,553236.0,540992.0,539421.0,541057.0,589390,625381,618179,674132,674132
Lower Secondary School,Haryana,Boy,,,,,,315282,341742,306143,335644,335644
Lower Secondary School,Haryana,Girl,,,,,,274108,283639,312036,338488,338488
Lower Secondary School,Himachal Pradesh,Total,217760.0,222975.0,222961.0,350717.0,350717.0,248786,249283,251525,223225,251959
Lower Secondary School,Himachal Pradesh,Boy,,,,,,131165,131428,132610,111879,132339
Lower Secondary School,Himachal Pradesh,Girl,,,,,,117621,117855,118915,111346,119620
Lower Secondary School,Jammu and Kashmir,Total,230221.0,215311.0,198913.0,216161.0,219208.0,219208,219208,320689,321009,321009
Lower Secondary School,Jammu and Kashmir,Boy,,,,,,124314,124314,175264,172248,172248
Lower Secondary School,Jammu and Kashmir,Girl,,,,,,94894,94894,145425,148761,148761
Lower Secondary School,Jharkhand,Total,313339.0,287932.0,329731.0,350135.0,372540.0,365202,419115,419115,495724,671328
Lower Secondary School,Jharkhand,Boy,,,,,,220609,248056,248056,267635,358751
Lower Secondary School,Jharkhand,Girl,,,,,,144593,171059,171059,228089,312577
Lower Secondary School,Karnataka,Total,1263117.0,1265117.0,1284137.0,1356575.0,1315875.0,1516442,1552447,1557709,1629891,1647351
