Table Name,State Code,District Code,Tehsil Code,Area Name,Mother Tongue Code,Mother Tongue,Total - Persons,Total - Males,Total - Females,Rural - Persons,Rural - Males,Rural - Females,Urban - Persons,Urban - Males,Urban - Females
C0116,09,00,0000,State - UTTAR PRADESH  09,043000,43 GARO,15,14,1,1,1,0,14,13,1
C0116,09,00,0000,State - UTTAR PRADESH  09,043005, 1 GARO,13,12,1,0,0,0,13,12,1
C0116,09,00,0000,State - UTTAR PRADESH  09,043999,43 Others,2,2,0,1,1,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,044000,44 GONDI,1864,976,888,1695,877,818,169,99,70
C0116,09,00,0000,State - UTTAR PRADESH  09,044006, 1 GONDI,414,201,213,406,195,211,8,6,2
C0116,09,00,0000,State - UTTAR PRADESH  09,044017, 2 MURIA,80,44,36,80,44,36,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,044999,44 Others,1370,731,639,1209,638,571,161,93,68
C0116,09,00,0000,State - UTTAR PRADESH  09,046000,46 HALAM,3,2,1,0,0,0,3,2,1
C0116,09,00,0000,State - UTTAR PRADESH  09,046999,46 Others,3,2,1,0,0,0,3,2,1
C0116,09,00,0000,State - UTTAR PRADESH  09,048000,48 HO,24,12,12,0,0,0,24,12,12
C0116,09,00,0000,State - UTTAR PRADESH  09,048002, 1 HO,24,12,12,0,0,0,24,12,12
C0116,09,00,0000,State - UTTAR PRADESH  09,051000,51 KABUI,7,3,4,6,3,3,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,051003, 1 KABUI,7,3,4,6,3,3,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,052000,52 KARBI / MIKIR,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,052002, 1 KARBI,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,053000,53 KHANDESHI,68,49,19,50,38,12,18,11,7
C0116,09,00,0000,State - UTTAR PRADESH  09,053002, 1 AHIRANI,2,2,0,0,0,0,2,2,0
C0116,09,00,0000,State - UTTAR PRADESH  09,053005, 2 GUJARI,66,47,19,50,38,12,16,9,7
C0116,09,00,0000,State - UTTAR PRADESH  09,054000,54 KHARIA,91,41,50,50,22,28,41,19,22
C0116,09,00,0000,State - UTTAR PRADESH  09,054004, 1 KHARIA,35,17,18,1,1,0,34,16,18
C0116,09,00,0000,State - UTTAR PRADESH  09,054999,54 Others,56,24,32,49,21,28,7,3,4
C0116,09,00,0000,State - UTTAR PRADESH  09,055000,55 KHASI,8,5,3,2,1,1,6,4,2
C0116,09,00,0000,State - UTTAR PRADESH  09,055006, 1 KHASI,8,5,3,2,1,1,6,4,2
C0116,09,00,0000,State - UTTAR PRADESH  09,061000,61 KOCH,3,2,1,1,0,1,2,2,0
C0116,09,00,0000,State - UTTAR PRADESH  09,061002, 1 KOCH,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,061999,61 Others,2,1,1,1,0,1,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,062000,62 KODA/KORA,44,22,22,41,20,21,3,2,1
C0116,09,00,0000,State - UTTAR PRADESH  09,062003, 1 KODA/KORA,9,3,6,8,2,6,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,062999,62 Others,35,19,16,33,18,15,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,064000,64 KOM,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,064001, 1 KOM,1,0,1,0,0,0,1,0,1
C0116,09,00,0000,State - UTTAR PRADESH  09,065000,65 KONDA,42,22,20,42,22,20,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,065999,65 Others,42,22,20,42,22,20,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,068000,68 KORWA,6,4,2,1,0,1,5,4,1
C0116,09,00,0000,State - UTTAR PRADESH  09,068999,68 Others,6,4,2,1,0,1,5,4,1
C0116,09,00,0000,State - UTTAR PRADESH  09,071000,71 KUKI,25,23,2,2,1,1,23,22,1
C0116,09,00,0000,State - UTTAR PRADESH  09,071007, 1 KUKI,25,23,2,2,1,1,23,22,1
C0116,09,00,0000,State - UTTAR PRADESH  09,072000,72 KURUKH/ORAON,2223,1089,1134,2016,980,1036,207,109,98
C0116,09,00,0000,State - UTTAR PRADESH  09,072009, 1 KURUKH/ORAON,2106,1023,1083,1938,943,995,168,80,88
C0116,09,00,0000,State - UTTAR PRADESH  09,072999,72 Others,117,66,51,78,37,41,39,29,10
C0116,09,00,0000,State - UTTAR PRADESH  09,073000,73 LADAKHI,14,8,6,0,0,0,14,8,6
C0116,09,00,0000,State - UTTAR PRADESH  09,073002, 1 LADAKHI,14,8,6,0,0,0,14,8,6
C0116,09,00,0000,State - UTTAR PRADESH  09,075000,75 LAHNDA,155,76,79,8,4,4,147,72,75
C0116,09,00,0000,State - UTTAR PRADESH  09,075012, 1 MULTANI,148,73,75,6,3,3,142,70,72
C0116,09,00,0000,State - UTTAR PRADESH  09,075015, 2 PUNCHHI,1,1,0,1,1,0,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,075999,75 Others,6,2,4,1,0,1,5,2,3
C0116,09,00,0000,State - UTTAR PRADESH  09,078000,78 LEPCHA,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,078001, 1 LEPCHA,1,1,0,0,0,0,1,1,0
C0116,09,00,0000,State - UTTAR PRADESH  09,082000,82 LUSHAI/MIZO,95,79,16,1,1,0,94,78,16
C0116,09,00,0000,State - UTTAR PRADESH  09,082003, 1 LUSHAI/MIZO,95,79,16,1,1,0,94,78,16
C0116,09,00,0000,State - UTTAR PRADESH  09,083000,83 MALTO,3,0,3,0,0,0,3,0,3
C0116,09,00,0000,State - UTTAR PRADESH  09,083999,83 Others,3,0,3,0,0,0,3,0,3
C0116,09,00,0000,State - UTTAR PRADESH  09,086000,86 MIRI/MISHING,4,2,2,0,0,0,4,2,2
C0116,09,00,0000,State - UTTAR PRADESH  09,086003, 1 MIRI/MISHING,4,2,2,0,0,0,4,2,2
C0116,09,00,0000,State - UTTAR PRADESH  09,087000,87 MISHMI,4,3,1,1,0,1,3,3,0
C0116,09,00,0000,State - UTTAR PRADESH  09,087999,87 Others,4,3,1,1,0,1,3,3,0
C0116,09,00,0000,State - UTTAR PRADESH  09,090000,90 MUNDA,1109,615,494,894,472,422,215,143,72
C0116,09,00,0000,State - UTTAR PRADESH  09,090003, 1 KOL,6,2,4,6,2,4,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,090006, 2 MUNDA,210,120,90,94,45,49,116,75,41
C0116,09,00,0000,State - UTTAR PRADESH  09,090999,90 Others,893,493,400,794,425,369,99,68,31
C0116,09,00,0000,State - UTTAR PRADESH  09,091000,91 MUNDARI,418,205,213,298,148,150,120,57,63
C0116,09,00,0000,State - UTTAR PRADESH  09,091004, 1 MUNDARI,413,203,210,298,148,150,115,55,60
C0116,09,00,0000,State - UTTAR PRADESH  09,091999,91 Others,5,2,3,0,0,0,5,2,3
C0116,09,00,0000,State - UTTAR PRADESH  09,092000,92 NICOBARESE,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,092001, 1 NICOBARESE,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,093000,93 NISSI/DAFLA,13,7,6,4,1,3,9,6,3
C0116,09,00,0000,State - UTTAR PRADESH  09,093001, 1 APATANI,4,1,3,4,1,3,0,0,0
C0116,09,00,0000,State - UTTAR PRADESH  09,093002, 2 BANGNI,2,1,1,0,0,0,2,1,1
C0116,09,00,0000,State - UTTAR PRADESH  09,093999,93 Others,7,5,2,0,0,0,7,5,2
C0116,09,00,0000,State - UTTAR PRADESH  09,094000,94 NOCTE,1,1,0,0,0,0,1,1,0
